LABEL,WORD,CAP,NUM,LOC,PREF,PREP,SUFF
B-ACQLOC,HAMBURG,1,0,1,0,0,0
B-PURCHASER,Oelmuehle,1,0,0,0,0,0
I-PURCHASER,Hamburg,1,0,0,0,0,0
I-PURCHASER,AG,1,0,0,0,0,0
B-SELLER,Henkel,1,0,0,0,0,0
I-SELLER,KGaA,1,0,0,0,0,0
B-STATUS,selling,0,0,0,0,0,0
B-ACQUIRED,Pancontinental,1,0,0,0,0,0
I-ACQUIRED,Mining,1,0,0,0,0,0
I-ACQUIRED,Ltd,1,0,0,0,0,1
B-ACQBUS,gold,0,0,0,0,0,0
I-ACQBUS,and,0,0,0,0,0,0
I-ACQBUS,coal,0,0,0,0,0,0
I-ACQBUS,mines,0,0,0,0,0,0
B-ACQBUS,natural,0,0,0,0,0,0
I-ACQBUS,gas,0,0,0,0,0,0
I-ACQBUS,and,0,0,0,0,0,0
I-ACQBUS,oil,0,0,0,0,0,0
I-ACQBUS,fields,0,0,0,0,0,0
B-ACQLOC,Australia,1,0,1,0,0,0
B-ACQLOC,Canada,1,0,1,0,0,0
B-DLRAMT,1.2,0,1,0,0,0,0
I-DLRAMT,billion,0,0,0,0,0,0
I-DLRAMT,Belgian,1,0,0,0,0,0
I-DLRAMT,francs,0,0,0,0,0,0
B-PURCHASER,Union,1,0,0,0,0,0
I-PURCHASER,Miniere,1,0,0,0,0,0
I-PURCHASER,SA,1,0,0,0,0,0
B-STATUS,acquired,0,0,0,0,0,0
B-ACQUIRED,Honeywell,1,0,0,0,0,0
I-ACQUIRED,Information,1,0,0,0,0,0
I-ACQUIRED,Systems,1,0,0,0,0,0
B-ACQBUS,computer,0,0,0,0,0,0
B-DLRAMT,527,0,1,0,0,0,0
I-DLRAMT,mln,0,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-PURCHASER,Compagnie,1,0,0,0,0,0
I-PURCHASER,des,0,0,0,0,0,0
I-PURCHASER,Machines,1,0,0,0,0,0
I-PURCHASER,Bull,1,0,0,0,0,0
B-PURCHASER,NEC,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-SELLER,Honeywell,1,0,0,0,0,0
I-SELLER,Inc,1,0,0,0,0,1
B-STATUS,completed,0,0,0,0,0,0
B-ACQUIRED,Northwest,1,0,0,0,0,0
I-ACQUIRED,Federal,1,0,0,0,0,0
I-ACQUIRED,Savings,1,0,0,0,0,0
I-ACQUIRED,and,0,0,0,0,0,0
I-ACQUIRED,Loan,1,0,0,0,0,0
I-ACQUIRED,Association,1,0,0,0,0,0
B-ACQLOC,"Woodward,",1,0,1,0,0,0
I-ACQLOC,Oklahoma,1,0,1,0,0,0
B-PURCHASER,LSB,1,0,0,0,0,0
I-PURCHASER,Industries,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-STATUS,entered,0,0,0,0,0,0
I-STATUS,into,0,0,0,0,1,0
I-STATUS,an,0,0,0,0,0,0
I-STATUS,agreement,0,0,0,0,0,0
B-ACQUIRED,Flyfaire,1,0,0,0,0,0
I-ACQUIRED,International,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-PURCHASER,Shefra,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-SELLER,PLAZA,1,0,0,0,0,0
I-SELLER,GROUP,1,0,0,0,0,0
B-STATUS,completed,0,0,0,0,0,0
B-ACQUIRED,Borg-Warner,1,0,0,0,0,0
I-ACQUIRED,(Australia),0,0,0,0,0,0
I-ACQUIRED,Ltd,1,0,0,0,0,1
B-ACQBUS,diversified,0,0,0,0,0,0
I-ACQBUS,auto,0,0,0,0,0,0
I-ACQBUS,parts,0,0,0,0,0,0
I-ACQBUS,manufacturer,0,0,0,0,0,0
B-DLRAMT,202.2,0,1,0,0,0,0
I-DLRAMT,mln,0,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-PURCHASER,BTR,1,0,0,0,0,0
I-PURCHASER,Nylex,1,0,0,0,0,0
I-PURCHASER,Ltd,1,0,0,0,0,1
B-SELLER,Borg-Warner,1,0,0,0,0,0
I-SELLER,Corp,1,0,0,0,0,1
B-STATUS,increase,0,0,0,0,0,0
I-STATUS,its,0,0,0,0,0,0
I-STATUS,takeover,0,0,0,0,0,0
I-STATUS,offer,0,0,0,0,0,0
B-ACQUIRED,Superdrug,1,0,0,0,0,0
I-ACQUIRED,Stores,1,0,0,0,0,0
I-ACQUIRED,Plc,1,0,0,0,0,0
B-ACQBUS,retail,0,0,0,0,0,0
I-ACQBUS,chemist,0,0,0,0,0,0
B-DLRAMT,244,0,1,0,0,0,0
I-DLRAMT,MLN,1,0,0,0,0,0
I-DLRAMT,STG,1,0,0,0,0,0
B-PURCHASER,Woolworth,1,0,0,0,0,0
I-PURCHASER,Holdings,1,0,0,0,0,0
I-PURCHASER,Plc,1,0,0,0,0,0
B-STATUS,bid,0,0,0,0,0,0
B-ACQUIRED,Hillards,1,0,0,0,0,0
I-ACQUIRED,Plc,1,0,0,0,0,0
B-PURCHASER,Tesco,1,0,0,0,0,0
I-PURCHASER,Plc,1,0,0,0,0,0
B-ACQUIRED,Telefon,1,0,0,0,0,0
I-ACQUIRED,AB,1,0,0,0,0,0
I-ACQUIRED,L.M.,1,0,0,0,0,0
I-ACQUIRED,Ericsson,1,0,0,0,0,0
B-ACQBUS,telecommunications,0,0,0,0,0,0
B-PURCHASER,Knut,1,0,0,0,0,0
I-PURCHASER,and,0,0,0,0,0,0
I-PURCHASER,Alice,1,0,0,0,0,0
I-PURCHASER,Wallenberg,1,0,0,0,0,0
I-PURCHASER,Foundation,1,0,0,0,0,0
B-STATUS,raised,0,0,0,0,0,0
I-STATUS,its,0,0,0,0,0,0
I-STATUS,holding,0,0,0,0,0,0
B-ACQUIRED,Coastal,1,0,0,0,0,0
I-ACQUIRED,Bancorp,1,0,0,0,0,0
B-ACQLOC,"Portland,",1,0,1,0,0,0
I-ACQLOC,Maine,1,0,1,0,0,0
B-PURCHASER,Suffield,1,0,0,0,0,0
I-PURCHASER,Financial,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-STATUS,received,0,0,0,0,0,0
I-STATUS,approval,0,0,0,0,0,0
B-ACQUIRED,Triton,1,0,0,0,0,0
I-ACQUIRED,Petroleum,1,0,0,0,0,0
I-ACQUIRED,Ltd,1,0,0,0,0,1
B-PURCHASER,Canadian,1,0,0,0,0,0
I-PURCHASER,Worldwide,1,0,0,0,0,0
I-PURCHASER,Energy,1,0,0,0,0,0
I-PURCHASER,Ltd,1,0,0,0,0,1
B-SELLER,Triton,1,0,0,0,0,0
I-SELLER,Energy,1,0,0,0,0,0
I-SELLER,Corp,1,0,0,0,0,1
B-STATUS,acquired,0,0,0,0,0,0
B-ACQUIRED,Bow,1,0,0,0,0,0
I-ACQUIRED,Valley,1,0,0,0,0,0
I-ACQUIRED,Industries,1,0,0,0,0,0
I-ACQUIRED,Ltd,1,0,0,0,0,1
B-SELLER,Bowcan,1,0,0,0,0,0
I-SELLER,Holdings,1,0,0,0,0,0
I-SELLER,Inc,1,0,0,0,0,1
B-STATUS,offering,0,0,0,0,0,0
I-STATUS,to,0,0,0,0,1,0
I-STATUS,sell,0,0,0,0,0,0
B-ACQUIRED,Santa,1,0,0,0,0,0
I-ACQUIRED,Fe,1,0,0,0,0,0
I-ACQUIRED,Southern,1,0,0,0,0,0
I-ACQUIRED,Pacific,1,0,0,0,0,0
I-ACQUIRED,Corp,1,0,0,0,0,1
B-PURCHASER,Henley,1,0,0,0,0,0
I-PURCHASER,Group,1,0,0,0,0,0
B-ACQUIRED,Cyclops,1,0,0,0,0,0
I-ACQUIRED,Corp,1,0,0,0,0,1
B-PURCHASER,OPPENHEIMER,1,0,0,0,0,0
B-ACQUIRED,gypsum,0,0,0,0,0,0
I-ACQUIRED,wallboard,0,0,0,0,0,0
I-ACQUIRED,plant,0,0,0,0,0,0
B-ACQLOC,Seattle,1,0,1,0,0,0
B-DLRAMT,not,0,0,0,0,0,0
I-DLRAMT,disclosed,0,0,0,0,0,0
B-PURCHASER,Louisiana,1,0,0,0,0,0
I-PURCHASER,Pacific,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-SELLER,Norwest,1,0,0,0,0,0
I-SELLER,Gypsum,1,0,0,0,0,0
B-STATUS,reached,0,0,0,0,0,0
I-STATUS,a,0,0,0,0,0,0
I-STATUS,non-binding,0,0,0,0,0,0
I-STATUS,agreement,0,0,0,0,0,0
I-STATUS,in,0,0,0,0,1,0
I-STATUS,principle,0,0,0,0,0,0
B-ACQUIRED,Quaker,1,0,0,0,0,0
I-ACQUIRED,State,1,0,0,0,0,0
I-ACQUIRED,Oil,1,0,0,0,0,0
I-ACQUIRED,Refining,1,0,0,0,0,0
I-ACQUIRED,Corp,1,0,0,0,0,1
B-SELLER,Kaufman,1,0,0,0,0,0
I-SELLER,and,0,0,0,0,0,0
I-SELLER,Board,1,0,0,0,0,0
I-SELLER,Inc,1,0,0,0,0,1
B-ACQUIRED,Allegheny,1,0,0,0,0,0
I-ACQUIRED,International,1,0,0,0,0,0
B-PURCHASER,Mario,1,0,0,0,0,0
I-PURCHASER,Gabelli,1,0,0,0,0,0
B-ACQUIRED,Don,1,0,0,0,0,0
I-ACQUIRED,Lowe,1,0,0,0,0,0
I-ACQUIRED,Foods,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-ACQBUS,food,0,0,0,0,0,0
I-ACQBUS,distributor,0,0,0,0,0,0
B-ACQLOC,Pompano,1,0,1,0,0,0
I-ACQLOC,"Beach,",1,0,1,0,0,0
I-ACQLOC,Fla.,1,0,1,0,0,0
B-DLRAMT,undisclosed,0,0,0,0,0,0
B-PURCHASER,golden,0,0,0,0,0,0
I-PURCHASER,Poultry,1,0,0,0,0,0
I-PURCHASER,Co,1,0,0,0,0,1
I-PURCHASER,Inc,1,0,0,0,0,1
B-STATUS,letter,0,0,0,0,0,0
I-STATUS,of,0,0,0,0,1,0
I-STATUS,intent,0,0,0,0,0,0
B-ACQUIRED,Norton,1,0,0,0,0,0
I-ACQUIRED,co,0,0,0,0,0,0
I-ACQUIRED,Pty,1,0,0,0,0,0
I-ACQUIRED,Ltd,1,0,0,0,0,1
B-DLRAMT,undisclosed,0,0,0,0,0,0
B-PURCHASER,Global,1,0,0,0,0,0
I-PURCHASER,Mining,1,0,0,0,0,0
I-PURCHASER,and,0,0,0,0,0,0
I-PURCHASER,Industrial,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-SELLER,Norton,1,0,0,0,0,0
I-SELLER,co,0,0,0,0,0,0
B-STATUS,agreed,0,0,0,0,0,0
I-STATUS,to,0,0,0,0,1,0
I-STATUS,sell,0,0,0,0,0,0
B-ACQUIRED,group,0,0,0,0,0,0
I-ACQUIRED,of,0,0,0,0,1,0
I-ACQUIRED,mineral,0,0,0,0,0,0
I-ACQUIRED,properties,0,0,0,0,0,0
B-ACQBUS,gold,0,0,0,0,0,0
B-ACQLOC,southwest,0,0,1,0,0,0
I-ACQLOC,Pacific,1,0,1,0,0,0
B-DLRAMT,30,0,1,0,0,0,0
I-DLRAMT,mln,0,0,0,0,0,0
I-DLRAMT,Canadian,1,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-SELLER,City,1,0,0,0,0,0
I-SELLER,Resources,1,0,0,0,0,0
I-SELLER,Ltd,1,0,0,0,0,1
B-STATUS,agreed,0,0,0,0,0,0
I-STATUS,in,0,0,0,0,1,0
I-STATUS,principle,0,0,0,0,0,0
B-ACQUIRED,Portsmouth,1,0,0,0,0,0
I-ACQUIRED,Savings,1,0,0,0,0,0
I-ACQUIRED,Bank,1,0,0,0,0,0
B-PURCHASER,Amoskeag,1,0,0,0,0,0
I-PURCHASER,Bank,1,0,0,0,0,0
I-PURCHASER,Shares,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-STATUS,overturned,0,0,0,0,0,0
B-ACQUIRED,plastic,0,0,0,0,0,0
I-ACQUIRED,container,0,0,0,0,0,0
I-ACQUIRED,business,0,0,0,0,0,0
B-PURCHASER,Ball,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-SELLER,Monsanto,1,0,0,0,0,0
I-SELLER,Co,1,0,0,0,0,1
B-STATUS,unable,0,0,0,0,0,0
I-STATUS,to,0,0,0,0,1,0
I-STATUS,complete,0,0,0,0,0,0
I-STATUS,negotiations,0,0,0,0,0,0
B-ACQUIRED,Atwell,1,0,0,0,0,0
I-ACQUIRED,Fleming,1,0,0,0,0,0
I-ACQUIRED,Printing,1,0,0,0,0,0
I-ACQUIRED,Ltd,1,0,0,0,0,1
B-ACQBUS,financial,0,0,0,0,0,0
I-ACQBUS,printer,0,0,0,0,0,0
B-ACQLOC,Canadian,1,0,1,0,0,0
B-DLRAMT,3.2,0,1,0,0,0,0
I-DLRAMT,mln,0,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-PURCHASER,Chas.,1,0,0,0,0,0
I-PURCHASER,P.,1,0,0,0,0,0
I-PURCHASER,Young,1,0,0,0,0,0
I-PURCHASER,Co,1,0,0,0,0,1
B-STATUS,agreed,0,0,0,0,0,0
I-STATUS,to,0,0,0,0,1,0
I-STATUS,acquire,0,0,0,0,0,0
B-ACQUIRED,Fairfield,1,0,0,0,0,0
I-ACQUIRED,Manufacturing,1,0,0,0,0,0
I-ACQUIRED,Co,1,0,0,0,0,1
B-ACQBUS,custom,0,0,0,0,0,0
I-ACQBUS,gears,0,0,0,0,0,0
I-ACQBUS,for,0,0,0,0,1,0
I-ACQBUS,industrial,0,0,0,0,0,0
I-ACQBUS,use,0,0,0,0,0,0
B-DLRAMT,70.5,0,1,0,0,0,0
I-DLRAMT,mln,0,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-PURCHASER,Neoax,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-SELLER,Rexnord,1,0,0,0,0,0
I-SELLER,Inc,1,0,0,0,0,1
B-ACQUIRED,GENCORP,1,0,0,0,0,0
B-PURCHASER,General,1,0,0,0,0,0
I-PURCHASER,Acquisition,1,0,0,0,0,0
I-PURCHASER,Co,1,0,0,0,0,1
B-STATUS,reject,0,0,0,0,0,0
B-ACQUIRED,Rogers,1,0,0,0,0,0
I-ACQUIRED,and,0,0,0,0,0,0
I-ACQUIRED,Cowan,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-ACQBUS,Public,1,0,0,0,0,0
I-ACQBUS,Relations,1,0,0,0,0,0
B-ACQLOC,LOS,1,0,1,0,0,0
I-ACQLOC,ANGELES,1,0,1,0,0,0
B-DLRAMT,2.25,0,1,0,0,0,0
I-DLRAMT,mln,0,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-PURCHASER,Shandwick,1,0,0,0,0,0
I-PURCHASER,Plc,1,0,0,0,0,0
B-STATUS,agreed,0,0,0,0,0,0
I-STATUS,to,0,0,0,0,1,0
I-STATUS,buy,0,0,0,0,0,0
B-ACQUIRED,Delhi,1,0,0,0,0,0
I-ACQUIRED,Australia,1,0,0,0,0,0
I-ACQUIRED,Fund,1,0,0,0,0,0
B-ACQBUS,oil,0,0,0,0,0,0
I-ACQBUS,and,0,0,0,0,0,0
I-ACQBUS,gas,0,0,0,0,0,0
I-ACQBUS,interests,0,0,0,0,0,0
B-ACQLOC,Australia,1,0,1,0,0,0
B-DLRAMT,almost,0,0,0,0,0,0
I-DLRAMT,a,0,0,0,0,0,0
I-DLRAMT,billion,0,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-PURCHASER,Esso,1,0,0,0,0,0
I-PURCHASER,Exploration,1,0,0,0,0,0
I-PURCHASER,and,0,0,0,0,0,0
I-PURCHASER,Production,1,0,0,0,0,0
I-PURCHASER,Australia,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-SELLER,CSR,1,0,0,0,0,0
I-SELLER,Ltd,1,0,0,0,0,1
B-ACQUIRED,Pioneer,1,0,0,0,0,0
I-ACQUIRED,Sugar,1,0,0,0,0,0
I-ACQUIRED,Mills,1,0,0,0,0,0
I-ACQUIRED,Ltd,1,0,0,0,0,1
B-ACQBUS,raw,0,0,0,0,0,0
I-ACQBUS,sugar,0,0,0,0,0,0
I-ACQBUS,mills,0,0,0,0,0,0
I-ACQBUS,and,0,0,0,0,0,0
I-ACQBUS,building,0,0,0,0,0,0
I-ACQBUS,materials,0,0,0,0,0,0
B-PURCHASER,CSR,1,0,0,0,0,0
I-PURCHASER,Ltd,1,0,0,0,0,1
B-STATUS,offer,0,0,0,0,0,0
B-ACQUIRED,Thies,1,0,0,0,0,0
I-ACQUIRED,Cos,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-ACQBUS,"poultry,",0,0,0,0,0,0
I-ACQBUS,beef,0,0,0,0,0,0
I-ACQBUS,and,0,0,0,0,0,0
I-ACQBUS,pork,0,0,0,0,0,0
I-ACQBUS,products,0,0,0,0,0,0
B-ACQLOC,midwest,0,0,1,0,0,0
B-DLRAMT,not,0,0,0,0,0,0
I-DLRAMT,disclosed,0,0,0,0,0,0
B-PURCHASER,Hudson,1,0,0,0,0,0
I-PURCHASER,Foods,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-STATUS,agreed,0,0,0,0,0,0
I-STATUS,in,0,0,0,0,1,0
I-STATUS,principle,0,0,0,0,0,0
B-ACQUIRED,KMG,1,0,0,0,0,0
I-ACQUIRED,MAIN,1,0,0,0,0,0
I-ACQUIRED,HURDMAN,1,0,0,0,0,0
B-ACQBUS,public,0,0,0,0,0,0
I-ACQBUS,account,0,0,0,0,0,0
I-ACQBUS,and,0,0,0,0,0,0
I-ACQBUS,consulting,0,0,0,0,0,0
B-ACQLOC,U.S.,1,0,1,0,0,0
B-PURCHASER,PEAT,1,0,0,0,0,0
I-PURCHASER,MARWICK,1,0,0,0,0,0
B-STATUS,completed,0,0,0,0,0,0
B-ACQUIRED,NECO,1,0,0,0,0,0
I-ACQUIRED,Enterprises,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-PURCHASER,David,1,0,0,0,0,0
I-PURCHASER,LaRoche,1,0,0,0,0,0
B-STATUS,extended,0,0,0,0,0,0
I-STATUS,his,0,0,0,0,0,0
I-STATUS,cash,0,0,0,0,0,0
I-STATUS,offer,0,0,0,0,0,0
B-ACQUIRED,AirCal,1,0,0,0,0,0
B-PURCHASER,AMR,1,0,0,0,0,0
I-PURCHASER,Corp's,1,0,0,0,0,0
I-PURCHASER,American,1,0,0,0,0,0
I-PURCHASER,Airlines,1,0,0,0,0,0
B-STATUS,plans,0,0,0,0,0,0
I-STATUS,to,0,0,0,0,1,0
I-STATUS,complete,0,0,0,0,0,0
B-ACQUIRED,Image,1,0,0,0,0,0
I-ACQUIRED,Video,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-ACQBUS,produces,0,0,0,0,0,0
I-ACQBUS,and,0,0,0,0,0,0
I-ACQBUS,distributes,0,0,0,0,0,0
I-ACQBUS,videos,0,0,0,0,0,0
I-ACQBUS,for,0,0,0,0,1,0
I-ACQBUS,the,0,0,0,0,0,0
I-ACQBUS,home,0,0,0,0,0,0
I-ACQBUS,market,0,0,0,0,0,0
B-DLRAMT,undisclosed,0,0,0,0,0,0
I-DLRAMT,sum,0,0,0,0,0,0
B-PURCHASER,Tradestar,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-STATUS,acquired,0,0,0,0,0,0
B-PURCHASER,Alza,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-SELLER,Quest,1,0,0,0,0,0
I-SELLER,Biotechnology,1,0,0,0,0,0
I-SELLER,Inc,1,0,0,0,0,1
B-STATUS,agreement,0,0,0,0,0,0
B-ACQUIRED,Pizza,1,0,0,0,0,0
I-ACQUIRED,Inn,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-PURCHASER,Pantera's,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-STATUS,agreed,0,0,0,0,0,0
I-STATUS,in,0,0,0,0,1,0
I-STATUS,principle,0,0,0,0,0,0
B-ACQUIRED,Gulf,1,0,0,0,0,0
I-ACQUIRED,Coast,1,0,0,0,0,0
I-ACQUIRED,Newspapers,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-ACQBUS,community,0,0,0,0,0,0
I-ACQBUS,papers,0,0,0,0,0,0
B-ACQLOC,Tampa,1,0,1,0,0,0
B-ACQLOC,St.,1,0,1,0,0,0
I-ACQLOC,Petersburg,1,0,1,0,0,0
B-PURCHASER,Tribune,1,0,0,0,0,0
I-PURCHASER,Co,1,0,0,0,0,1
B-SELLER,E.W.,1,0,0,0,0,0
I-SELLER,Scripps,1,0,0,0,0,0
I-SELLER,Co,1,0,0,0,0,1
B-ACQUIRED,Nippon,1,0,0,0,0,0
I-ACQUIRED,Lace,1,0,0,0,0,0
I-ACQUIRED,Co,1,0,0,0,0,1
I-ACQUIRED,Ltd,1,0,0,0,0,1
B-DLRAMT,16.5,0,1,0,0,0,0
I-DLRAMT,mln,0,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-PURCHASER,Lifetime,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-STATUS,agreed,0,0,0,0,0,0
I-STATUS,to,0,0,0,0,1,0
I-STATUS,buy,0,0,0,0,0,0
B-ACQUIRED,Lucht,1,0,0,0,0,0
I-ACQUIRED,Engineering,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-PURCHASER,Innovex,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-STATUS,completed,0,0,0,0,0,0
B-ACQUIRED,Cyclops,1,0,0,0,0,0
I-ACQUIRED,Corp,1,0,0,0,0,1
B-SELLER,OPPENHEIMER,1,0,0,0,0,0
B-ACQUIRED,Sociedade,1,0,0,0,0,0
I-ACQUIRED,de,0,0,0,0,0,0
I-ACQUIRED,Iniciativa,1,0,0,0,0,0
I-ACQUIRED,e,0,0,0,0,0,0
I-ACQUIRED,Aproveitamentos,1,0,0,0,0,0
I-ACQUIRED,Florestais,1,0,0,0,0,0
I-ACQUIRED,Sarl,1,0,0,0,0,0
B-DLRAMT,undisclosed,0,0,0,0,0,0
B-PURCHASER,Sonae,1,0,0,0,0,0
I-PURCHASER,Group,1,0,0,0,0,0
B-SELLER,Swedish,1,0,0,0,0,0
I-SELLER,Match,1,0,0,0,0,0
I-SELLER,AB,1,0,0,0,0,0
B-STATUS,selling,0,0,0,0,0,0
B-ACQUIRED,Georgia,1,0,0,0,0,0
I-ACQUIRED,International,1,0,0,0,0,0
I-ACQUIRED,Life,1,0,0,0,0,0
I-ACQUIRED,Insurance,1,0,0,0,0,0
I-ACQUIRED,Co,1,0,0,0,0,1
B-DLRAMT,85,0,1,0,0,0,0
I-DLRAMT,mln,0,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-PURCHASER,Southmark,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-SELLER,Capital,1,0,0,0,0,0
I-SELLER,Holding,1,0,0,0,0,0
I-SELLER,Corp,1,0,0,0,0,1
B-STATUS,completed,0,0,0,0,0,0
B-ACQUIRED,The,1,0,0,0,0,0
I-ACQUIRED,Vons,1,0,0,0,0,0
I-ACQUIRED,Companies,1,0,0,0,0,0
B-ACQBUS,"supermarket,",0,0,0,0,0,0
I-ACQBUS,combination,0,0,0,0,0,0
I-ACQBUS,store,0,0,0,0,0,0
I-ACQBUS,operator,0,0,0,0,0,0
B-PURCHASER,Allied,1,0,0,0,0,0
I-PURCHASER,Supermarkets,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-ACQUIRED,a,0,0,0,0,0,0
I-ACQUIRED,branch,0,0,0,0,0,0
I-ACQUIRED,in,0,0,0,0,1,0
I-ACQUIRED,Clinton,1,0,0,0,0,0
